tg,t,cpi
0,Jan-95,103.8
1,Feb-95,103.4
2,Mar-95,100.2
3,Apr-95,101
4,May-95,101.8
5,Jun-95,100.8
6,Jul-95,100
7,Aug-95,100.3
8,Sep-95,100.5
9,Oct-95,100.1
10,Nov-95,100.1
11,Dec-95,100.3
12,Jan-96,100.9
13,Feb-96,102.5
14,Mar-96,100.8
15,Apr-96,100.1
16,May-96,99.5
17,Jun-96,99.5
18,Jul-96,99.3
19,Aug-96,99.6
20,Sep-96,100.3
21,Oct-96,100.1
22,Nov-96,100.9
23,Dec-96,101
24,Jan-97,100.8
25,Feb-97,101.8
26,Mar-97,99.5
27,Apr-97,99.4
28,May-97,99.5
29,Jun-97,100.1
30,Jul-97,100.2
31,Aug-97,100.1
32,Sep-97,100.6
33,Oct-97,100.3
34,Nov-97,100.3
35,Dec-97,101
36,Jan-98,101.6
37,Feb-98,102.2
38,Mar-98,99.2
39,Apr-98,101.6
40,May-98,101.4
41,Jun-98,100
42,Jul-98,99.5
43,Aug-98,101.1
44,Sep-98,101
45,Oct-98,100.3
46,Nov-98,100.1
47,Dec-98,100.8
48,Jan-99,101.7
49,Feb-99,101.9
50,Mar-99,99.3
51,Apr-99,99.4
52,May-99,99.6
53,Jun-99,99.7
54,Jul-99,99.6
55,Aug-99,99.6
56,Sep-99,99.4
57,Oct-99,99
58,Nov-99,100.4
59,Dec-99,100.5
60,Jan-00,100.4
61,Feb-00,101.6
62,Mar-00,98.9
63,Apr-00,99.3
64,May-00,99.4
65,Jun-00,99.5
66,Jul-00,99.4
67,Aug-00,100.1
68,Sep-00,99.8
69,Oct-00,100.1
70,Nov-00,100.9
71,Dec-00,100.1
72,Jan-01,100.3
73,Feb-01,100.4
74,Mar-01,99.3
75,Apr-01,99.5
76,May-01,99.8
77,Jun-01,100
78,Jul-01,99.8
79,Aug-01,100
80,Sep-01,100.5
81,Oct-01,100
82,Nov-01,100.2
83,Dec-01,101
84,Jan-02,101.1
85,Feb-02,102.2
86,Mar-02,99.2
87,Apr-02,100
88,May-02,100.3
89,Jun-02,100.1
90,Jul-02,99.9
91,Aug-02,100.1
92,Sep-02,100.2
93,Oct-02,100.3
94,Nov-02,100.3
95,Dec-02,100.3
96,Jan-03,100.9
97,Feb-03,102.2
98,Mar-03,99.4
99,Apr-03,100
100,May-03,99.9
101,Jun-03,99.7
102,Jul-03,99.7
103,Aug-03,99.9
104,Sep-03,100.1
105,Oct-03,99.8
106,Nov-03,100.6
107,Dec-03,100.8
108,Jan-04,101.1
109,Feb-04,103
110,Mar-04,100.8
111,Apr-04,100.5
112,May-04,100.9
113,Jun-04,100.8
114,Jul-04,100.5
115,Aug-04,100.6
116,Sep-04,100.3
117,Oct-04,100
118,Nov-04,100.2
119,Dec-04,100.6
120,Jan-05,101.1
121,Feb-05,102.5
122,Mar-05,100.1
123,Apr-05,100.6
124,May-05,100.5
125,Jun-05,100.4
126,Jul-05,100.4
127,Aug-05,100.4
128,Sep-05,100.8
129,Oct-05,100.4
130,Nov-05,100.4
131,Dec-05,100.8
132,Jan-06,101.2
133,Feb-06,102.1
134,Mar-06,99.5
135,Apr-06,100.2
136,May-06,100.6
137,Jun-06,100.4
138,Jul-06,100.4
139,Aug-06,100.4
140,Sep-06,100.3
141,Oct-06,100.2
142,Nov-06,100.6
143,Dec-06,100.5
144,Jan-07,101.1
145,Feb-07,102.2
146,Mar-07,99.8
147,Apr-07,100.5
148,May-07,100.8
149,Jun-07,100.9
150,Jul-07,100.9
151,Aug-07,100.6
152,Sep-07,100.5
153,Oct-07,100.7
154,Nov-07,101.2
155,Dec-07,102.9
156,Jan-08,102.38
157,Feb-08,103.56
158,Mar-08,102.99
159,Apr-08,102.2
160,May-08,103.91
161,Jun-08,102.14
162,Jul-08,101.13
163,Aug-08,101.56
164,Sep-08,100.18
165,Oct-08,99.81
166,Nov-08,99.24
167,Dec-08,99.32
168,Jan-09,100.32
169,Feb-09,101.17
170,Mar-09,99.83
171,Apr-09,100.35
172,May-09,100.44
173,Jun-09,100.55
174,Jul-09,100.52
175,Aug-09,100.24
176,Sep-09,100.62
177,Oct-09,100.37
178,Nov-09,100.55
179,Dec-09,101.38
180,Jan-10,101.36
181,Feb-10,101.96
182,Mar-10,100.75
183,Apr-10,100.14
184,May-10,100.27
185,Jun-10,100.22
186,Jul-10,100.06
187,Aug-10,100.23
188,Sep-10,101.31
189,Oct-10,101.05
190,Nov-10,101.86
191,Dec-10,101.98
192,Jan-11,101.74
193,Feb-11,102.09
194,Mar-11,102.17
195,Apr-11,103.32
196,May-11,102.21
197,Jun-11,101.09
198,Jul-11,101.17
199,Aug-11,100.93
200,Sep-11,100.82
201,Oct-11,100.36
202,Nov-11,100.39
203,Dec-11,100.53
204,Jan-12,101
205,Feb-12,101.37
206,Mar-12,100.16
207,Apr-12,100.05
208,May-12,100.18
209,Jun-12,99.74
210,Jul-12,99.71
211,Aug-12,100.63
212,Sep-12,102.2
213,Oct-12,100.85
214,Nov-12,100.47
215,Dec-12,100.27
216,Jan-13,101.25
217,Feb-13,101.32
218,Mar-13,99.81
219,Apr-13,100.02
220,May-13,99.94
221,Jun-13,100.05
222,Jul-13,100.27
223,Aug-13,100.83
224,Sep-13,101.06
225,Oct-13,100.49
226,Nov-13,100.34
227,Dec-13,100.51
228,Jan-14,100.69
229,Feb-14,100.55
230,Mar-14,99.56
231,Apr-14,100.08
232,May-14,100.2
233,Jun-14,100.3
234,Jul-14,100.23
235,Aug-14,100.22
236,Sep-14,100.4
237,Oct-14,100.11
238,Nov-14,99.73
239,Dec-14,99.76
240,Jan-15,99.8
241,Feb-15,99.95
242,Mar-15,100.15
243,Apr-15,100.14
244,May-15,100.16
245,Jun-15,100.35
246,Jul-15,100.13
247,Aug-15,99.93
248,Sep-15,99.79
249,Oct-15,100.11
250,Nov-15,100.07
251,Dec-15,100.02
252,Jan-16,100
253,Feb-16,100.42
254,Mar-16,100.57
255,Apr-16,100.33
256,May-16,100.54
257,Jun-16,100.46
258,Jul-16,100.13
259,Aug-16,100.1
260,Sep-16,100.54
261,Oct-16,100.83
262,Nov-16,100.48
263,Dec-16,100.23
264,Jan-17,100.46
265,Feb-17,100.23
266,Mar-17,100.21
267,Apr-17,100
268,May-17,99.47
269,Jun-17,99.83
270,Jul-17,100.11
271,Aug-17,100.92
272,Sep-17,100.59
273,Oct-17,100.41
274,Nov-17,100.13
275,Dec-17,100.21
276,Jan-18,100.51
277,Feb-18,100.73
278,Mar-18,99.73
279,Apr-18,100.08
280,May-18,100.55
281,Jun-18,100.61
282,Jul-18,99.91
283,Aug-18,100.45
284,Sep-18,100.59
285,Oct-18,100.33
286,Nov-18,99.71
287,Dec-18,99.75
288,Jan-19,100.1
289,Feb-19,100.8
290,Mar-19,99.79
291,Apr-19,100.31
292,May-19,100.49
293,Jun-19,99.91
294,Jul-19,100.18
295,Aug-19,100.28
296,Sep-19,100.32
297,Oct-19,100.59
298,Nov-19,100.96
299,Dec-19,101.4
300,Jan-20,101.23
301,Feb-20,99.83
302,Mar-20,99.28
303,Apr-20,98.46
304,May-20,99.97
305,Jun-20,100.66
306,Jul-20,100.4
307,Aug-20,100.07
308,Sep-20,100.12
309,Oct-20,100.09
310,Nov-20,99.99
311,Dec-20,100.1
312,Jan-21,100.06
313,Feb-21,101.52
314,Mar-21,99.73
315,Apr-21,99.96
316,May-21,100.16
317,Jun-21,100.19
318,Jul-21,100.62
319,Aug-21,100.25
320,Sep-21,99.38
321,Oct-21,99.8
322,Nov-21,100.32
323,Dec-21,99.82
324,Jan-22,100.19
325,Feb-22,101
326,Mar-22,100.7
327,Apr-22,100.18
328,May-22,100.38
329,Jun-22,100.69
330,Jul-22,100.4
331,Aug-22,100
332,Sep-22,100.4
333,Oct-22,100.15
334,Nov-22,100.39
335,Dec-22,99.99
336,Jan-23,100.52
337,Feb-23,100.45
338,Mar-23,99.77
339,Apr-23,99.66
340,May-23,100.01
341,Jun-23,100.27
342,Jul-23,100.45
343,Aug-23,100.88
344,Sep-23,101.08
345,Oct-23,100.08
346,Nov-23,100.25
347,Dec-23,100.12
